sv-SE;en-US
alldeles;quite
att;to
av;of
axel;axel
behörig;competent
besked;information
busig;mischievous
det;it
duktig;good
efter;after
elevassistent;teacher's assistant
en;a
för;for
han;he
har;has
hålla;keep
hög;high
i;in
inte;not
jag;I
jaga;chase
klass;class
kompetens;competence
kunna;be able to
lägga;lay
lärare;teacher
man;man
med;with
mycket;very
måste;must
nu;now
och;and
ordförande;chairman
pengar;money
pojke;boy
prioritering;prioritization
på;on
rätt;right
sak;thing
satsa;invest
schack;chess
se;see
ska;shall
skola;school
skriv;write
som;as
stör;disturb
säga;say
underskott;deficit
vara;be
